LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
MA,2021,"Black, non-Hispanic",47.35,27.6,27.299999999999997,57.95,0
MA,2021,Female,34.8,30.35,30.099999999999998,68.65,0
MA,2021,Hispanic,35.8,33.0,32.4,68.7,0
MA,2021,Male,41.2,36.6,36.1,65.25,1
MA,2021,"Multiracial, non-Hispanic",30.2,23.65,23.15,,0
MA,2021,Overall,37.849999999999994,33.35,33.0,66.9,0
MA,2021,"White, non-Hispanic",37.6,34.05,33.8,68.05000000000001,0
MD,2019,"Asian, non-Hispanic",28.150000000000002,35.95,35.75,85.6,0
MD,2019,"Black, non-Hispanic",52.8,30.6,30.4,72.44999999999999,1
MD,2019,Female,40.7,31.75,31.549999999999997,74.3,0
MD,2019,Hispanic,26.799999999999997,31.5,31.5,41.45,0
MD,2019,Male,45.0,34.75,34.5,66.05,1
MD,2019,Overall,42.75,33.15,32.95,69.69999999999999,1
MD,2019,"White, non-Hispanic",41.4,34.45,34.25,69.0,1
MD,2021,"Asian, non-Hispanic",34.599999999999994,37.05,36.5,76.15,0
MD,2021,"Black, non-Hispanic",51.5,31.95,31.75,73.35,1
MD,2021,Female,41.1,35.5,35.3,72.5,0
MD,2021,Hispanic,31.25,35.0,34.85,61.0,0
MD,2021,Male,44.4,35.349999999999994,35.1,67.8,1
MD,2021,"Multiracial, non-Hispanic",47.95,39.05,38.8,71.8,0
MD,2021,Overall,42.7,35.45,35.2,70.1,1
MD,2021,"White, non-Hispanic",40.95,37.150000000000006,36.95,68.0,1
ME,2019,Female,38.05,29.15,28.75,65.7,0
ME,2019,Male,46.75,34.0,33.599999999999994,61.2,1
ME,2019,Overall,42.3,31.45,31.05,62.650000000000006,0
ME,2019,"White, non-Hispanic",42.2,31.450000000000003,31.1,62.5,0
ME,2021,Female,35.9,30.049999999999997,29.85,71.55,0
ME,2021,Male,44.05,33.15,32.8,64.85,1
ME,2021,Overall,39.849999999999994,31.549999999999997,31.25,67.55,1
ME,2021,"White, non-Hispanic",39.8,31.5,31.299999999999997,67.5,1
MI,2019,"American Indian or Alaska Native, non-Hispanic",46.15,50.4,50.4,,0
MI,2019,"Asian, non-Hispanic",15.2,21.25,21.1,,0
MI,2019,"Black, non-Hispanic",54.5,29.549999999999997,29.3,65.15,1
MI,2019,Female,40.650000000000006,31.1,30.8,71.1,1
MI,2019,Hispanic,37.85,21.7,20.9,50.65,0
MI,2019,Male,45.5,33.7,33.3,63.35,1
MI,2019,"Multiracial, non-Hispanic",36.0,32.0,31.6,56.05,0
MI,2019,Overall,43.05,32.35,31.950000000000003,66.55,1
MI,2019,"White, non-Hispanic",42.05,33.5,33.2,67.95,1
MI,2021,"American Indian or Alaska Native, non-Hispanic",34.8,30.15,30.15,,1
MI,2021,"Asian, non-Hispanic",20.95,23.799999999999997,23.700000000000003,,0
MI,2021,"Black, non-Hispanic",54.05,35.9,35.75,75.05000000000001,1
MI,2021,Female,39.150000000000006,32.5,32.3,76.1,1
MI,2021,Hispanic,29.9,23.950000000000003,23.5,58.7,1
MI,2021,Male,46.150000000000006,36.05,35.75,66.4,1
MI,2021,"Multiracial, non-Hispanic",42.8,34.0,33.099999999999994,54.3,0
MI,2021,Overall,42.55,34.2,33.95,70.6,1
MI,2021,"White, non-Hispanic",41.75,34.95,34.75,70.5,1
MN,2019,"American Indian or Alaska Native, non-Hispanic",54.650000000000006,35.8,34.55,59.65,1
MN,2019,"Asian, non-Hispanic",28.65,27.75,27.049999999999997,,0
MN,2019,"Black, non-Hispanic",40.25,24.700000000000003,24.5,73.2,1
MN,2019,Female,33.3,24.75,24.55,68.95,0
MN,2019,Hispanic,26.1,22.200000000000003,21.8,58.5,0
MN,2019,Male,39.5,30.599999999999998,30.25,62.0,1
MN,2019,"Multiracial, non-Hispanic",36.3,19.3,18.799999999999997,55.599999999999994,0
MN,2019,Overall,36.4,27.6,27.3,65.1,0
MN,2019,"White, non-Hispanic",36.8,28.05,27.799999999999997,65.65,0
MN,2021,"American Indian or Alaska Native, non-Hispanic",46.95,25.25,25.05,72.4,1
MN,2021,"Asian, non-Hispanic",29.8,26.4,25.95,58.0,0
MN,2021,"Black, non-Hispanic",43.5,24.4,24.25,72.8,0
MN,2021,Female,33.95,26.75,26.55,72.55,0
MN,2021,Hispanic,27.65,26.2,26.0,49.1,0
MN,2021,Male,39.4,30.9,30.65,65.55,1
MN,2021,"Multiracial, non-Hispanic",40.150000000000006,24.3,24.25,64.94999999999999,0
MN,2021,Overall,36.7,28.799999999999997,28.55,68.35,0
MN,2021,"White, non-Hispanic",37.1,29.35,29.15,69.05,0
MO,2019,"American Indian or Alaska Native, non-Hispanic",49.349999999999994,43.55,42.15,,0
MO,2019,"Black, non-Hispanic",46.0,28.1,27.9,66.19999999999999,1
MO,2019,Female,37.5,31.1,30.9,71.9,0
MO,2019,Hispanic,26.650000000000002,39.5,39.3,,0
MO,2019,Male,39.599999999999994,33.5,33.2,63.4,1
MO,2019,"Multiracial, non-Hispanic",45.099999999999994,32.2,32.2,,0
MO,2019,Overall,38.5,32.25,32.0,67.3,1
MO,2019,"White, non-Hispanic",38.0,32.5,32.25,67.75,1
MO,2021,"American Indian or Alaska Native, non-Hispanic",42.75,44.650000000000006,44.45,,0
MO,2021,"Asian, non-Hispanic",14.7,22.55,22.35,,0
MO,2021,"Black, non-Hispanic",54.25,24.2,24.1,74.0,1
MO,2021,Female,39.8,31.35,31.2,75.75,1
MO,2021,Hispanic,44.4,30.599999999999998,30.099999999999998,59.05,0
MO,2021,Male,46.45,35.65,35.35,68.1,1
MO,2021,"Multiracial, non-Hispanic",49.15,37.9,37.9,67.7,0
MO,2021,Overall,43.05,33.4,33.15,71.45,1
MO,2021,"White, non-Hispanic",41.95,35.15,34.9,71.1,1
MS,2019,"Black, non-Hispanic",61.25,29.700000000000003,29.4,79.9,1
MS,2019,Female,53.0,34.2,33.900000000000006,77.85,1
MS,2019,Male,52.5,34.45,33.95,71.35,1
MS,2019,Overall,52.8,34.349999999999994,33.95,74.7,1
MS,2019,"White, non-Hispanic",49.349999999999994,37.7,37.2,72.25,1
MS,2021,"Black, non-Hispanic",62.1,35.2,35.150000000000006,79.35,1
MS,2021,Female,52.05,34.8,34.6,79.15,1
MS,2021,Male,55.65,36.35,35.9,74.65,1
MS,2021,Overall,53.8,35.55,35.2,76.94999999999999,1
MS,2021,"White, non-Hispanic",50.650000000000006,36.6,36.150000000000006,75.85,1
MT,2019,"American Indian or Alaska Native, non-Hispanic",44.35,25.450000000000003,25.0,71.95,1
MT,2019,Female,31.6,25.8,25.549999999999997,66.4,0
MT,2019,Male,40.25,29.4,29.1,59.25,1
MT,2019,Overall,35.9,27.55,27.299999999999997,62.199999999999996,1
MT,2019,"White, non-Hispanic",35.35,27.95,27.6,61.85,0
MT,2021,"American Indian or Alaska Native, non-Hispanic",42.400000000000006,25.0,24.9,64.1,1
MT,2021,Female,33.4,26.0,25.85,71.75,0
MT,2021,Hispanic,29.25,20.299999999999997,20.299999999999997,,1
MT,2021,Male,39.85,29.4,29.1,63.95,1
MT,2021,Overall,36.7,27.65,27.450000000000003,67.5,1
MT,2021,"White, non-Hispanic",36.65,28.2,28.0,68.9,1
NC,2019,"American Indian or Alaska Native, non-Hispanic",59.8,40.349999999999994,39.9,68.9,1
NC,2019,"Black, non-Hispanic",56.4,32.35,31.95,71.95,1
NC,2019,Female,42.75,33.5,33.25,72.0,0
NC,2019,Hispanic,24.950000000000003,27.799999999999997,27.65,57.75,0
NC,2019,Male,44.3,31.95,31.5,61.6,1
NC,2019,Overall,43.45,32.75,32.45,66.75,1
NC,2019,"White, non-Hispanic",41.9,33.2,32.85,63.85,1
NC,2021,"American Indian or Alaska Native, non-Hispanic",56.9,31.25,30.75,64.65,1
